window	chr1-win_start	chr1-win_end	chr1-n_bases	chr1-gc_bases	chr1-exon_bases	chr1-simple_rep_bases	chr1-complex_rep_bases	chr2-win_start	chr2-win_end	chr2-n_bases	chr2-gc_bases	chr2-exon_bases	chr2-simple_rep_bases	chr2-complex_rep_bases	chr3-win_start	chr3-win_end	chr3-n_bases	chr3-gc_bases	chr3-exon_bases	chr3-simple_rep_bases	chr3-complex_rep_bases	chr4-win_start	chr4-win_end	chr4-n_bases	chr4-gc_bases	chr4-exon_bases	chr4-simple_rep_bases	chr4-complex_rep_bases	chr5-win_start	chr5-win_end	chr5-n_bases	chr5-gc_bases	chr5-exon_bases	chr5-simple_rep_bases	chr5-complex_rep_bases	chr6-win_start	chr6-win_end	chr6-n_bases	chr6-gc_bases	chr6-exon_bases	chr6-simple_rep_bases	chr6-complex_rep_bases	chr7-win_start	chr7-win_end	chr7-n_bases	chr7-gc_bases	chr7-exon_bases	chr7-simple_rep_bases	chr7-complex_rep_bases	chr8-win_start	chr8-win_end	chr8-n_bases	chr8-gc_bases	chr8-exon_bases	chr8-simple_rep_bases	chr8-complex_rep_bases	chr9-win_start	chr9-win_end	chr9-n_bases	chr9-gc_bases	chr9-exon_bases	chr9-simple_rep_bases	chr9-complex_rep_bases	chr10-win_start	chr10-win_end	chr10-n_bases	chr10-gc_bases	chr10-exon_bases	chr10-simple_rep_bases	chr10-complex_rep_bases	chr11-win_start	chr11-win_end	chr11-n_bases	chr11-gc_bases	chr11-exon_bases	chr11-simple_rep_bases	chr11-complex_rep_bases	chr12-win_start	chr12-win_end	chr12-n_bases	chr12-gc_bases	chr12-exon_bases	chr12-simple_rep_bases	chr12-complex_rep_bases	chr13-win_start	chr13-win_end	chr13-n_bases	chr13-gc_bases	chr13-exon_bases	chr13-simple_rep_bases	chr13-complex_rep_bases	chr14-win_start	chr14-win_end	chr14-n_bases	chr14-gc_bases	chr14-exon_bases	chr14-simple_rep_bases	chr14-complex_rep_bases	chr15-win_start	chr15-win_end	chr15-n_bases	chr15-gc_bases	chr15-exon_bases	chr15-simple_rep_bases	chr15-complex_rep_bases	chr16-win_start	chr16-win_end	chr16-n_bases	chr16-gc_bases	chr16-exon_bases	chr16-simple_rep_bases	chr16-complex_rep_bases	chr17-win_start	chr17-win_end	chr17-n_bases	chr17-gc_bases	chr17-exon_bases	chr17-simple_rep_bases	chr17-complex_rep_bases	chr18-win_start	chr18-win_end	chr18-n_bases	chr18-gc_bases	chr18-exon_bases	chr18-simple_rep_bases	chr18-complex_rep_bases	chr19-win_start	chr19-win_end	chr19-n_bases	chr19-gc_bases	chr19-exon_bases	chr19-simple_rep_bases	chr19-complex_rep_bases	chr20-win_start	chr20-win_end	chr20-n_bases	chr20-gc_bases	chr20-exon_bases	chr20-simple_rep_bases	chr20-complex_rep_bases	chr21-win_start	chr21-win_end	chr21-n_bases	chr21-gc_bases	chr21-exon_bases	chr21-simple_rep_bases	chr21-complex_rep_bases	chr22-win_start	chr22-win_end	chr22-n_bases	chr22-gc_bases	chr22-exon_bases	chr22-simple_rep_bases	chr22-complex_rep_bases	chr23-win_start	chr23-win_end	chr23-n_bases	chr23-gc_bases	chr23-exon_bases	chr23-simple_rep_bases	chr23-complex_rep_bases	chr24-win_start	chr24-win_end	chr24-n_bases	chr24-gc_bases	chr24-exon_bases	chr24-simple_rep_bases	chr24-complex_rep_bases	chr25-win_start	chr25-win_end	chr25-n_bases	chr25-gc_bases	chr25-exon_bases	chr25-simple_rep_bases	chr25-complex_rep_bases	chr26-win_start	chr26-win_end	chr26-n_bases	chr26-gc_bases	chr26-exon_bases	chr26-simple_rep_bases	chr26-complex_rep_bases	chr27-win_start	chr27-win_end	chr27-n_bases	chr27-gc_bases	chr27-exon_bases	chr27-simple_rep_bases	chr27-complex_rep_bases	chr28-win_start	chr28-win_end	chr28-n_bases	chr28-gc_bases	chr28-exon_bases	chr28-simple_rep_bases	chr28-complex_rep_bases	chr32-win_start	chr32-win_end	chr32-n_bases	chr32-gc_bases	chr32-exon_bases	chr32-simple_rep_bases	chr32-complex_rep_bases	chrW-win_start	chrW-win_end	chrW-n_bases	chrW-gc_bases	chrW-exon_bases	chrW-simple_rep_bases	chrW-complex_rep_bases	chrZ-win_start	chrZ-win_end	chrZ-n_bases	chrZ-gc_bases	chrZ-exon_bases	chrZ-simple_rep_bases	chrZ-complex_rep_bases
window11	98101270	107911397	9994	3864087	1099430	172848	1217447	74780360	82258396	806	2888080	601354	108956	868053	55651060	61216166	92927	2123509	869553	79730	447432	45641320	50205452	210	1927549	1025646	45643	326787	29912650	32903915	2	1085037	536701	48974	242232	17733500	19506850	0	734196	411705	16278	84220	18473460	20320806	0	693586	772608	19996	79207	14981500	16479650	101	608836	568776	16380	58939	12045780	13250358	1	518810	342394	10690	35750	10217670	11239437	100	415965	196692	11266	31851	10109390	11120329	0	420097	199990	9055	31319	9974070	10971477	0	443386	239584	9964	55842	9203730	10124103	0	408164	109758	9699	39492	7797520	8577272	0	339087	119240	4915	18911	6381420	7019562	0	311941	424776	7832	18933	326160	358776	0	16068	9287	127	985	5478200	6026020	0	265774	466243	6189	8368	5526860	6079546	1	236791	70924	2973	13993	4989910	5488901	91	233784	204290	4574	14710	7054680	7760148	0	275047	30951	6663	23106	3431360	3774496	0	145625	259434	3468	3153	2364870	2601357	1	127046	98388	3007	2433	2893260	3182586	1782	135490	3603	2241	10822	3140270	3454297	0	144901	127258	3697	7539	1453150	1598465	0	82499	46466	5710	484	2656880	2922568	811	135001	104560	2774	7003	2827890	3110679	0	142431	139418	3977	6821	2487130	2735843	742	138363	132520	6335	5472	39120	43032	0	2723	2289	1725	NA	2580010	2838011	49768	93377	9032	2856	165696	41155080	45270588	622	1627376	489227	73200	1050162
window12	107911397	117721524	124470	3910832	1497330	153412	1116125	82258396	89736432	2100	2881361	666711	126302	873905	61216166	66781272	1325	2165659	633740	87349	548628	50205452	54769584	3	1838126	862338	49271	268248	32903915	35895180	1	1097824	429882	42098	240118	19506850	21280200	600	696184	574879	19665	64216	20320806	22168152	968	715291	325701	26585	101202	16479650	17977800	1	563942	224362	21449	86732	13250358	14454936	1	543658	247422	9169	55845	11239437	12261204	1	411429	335547	9579	34395	11120329	12131268	200	405785	180409	8663	27223	10971477	11968884	662	481190	441919	12591	25526	10124103	11044476	2	452026	353714	15373	25449	8577272	9357024	1	323390	339351	6590	24314	7019562	7657704	0	326716	110330	11049	24978	358776	391392	201	16937	9198	503	6896	6026020	6573840	0	276456	220204	9226	13237	6079546	6632232	0	243388	200843	4077	12581	5488901	5987892	0	275644	353662	11818	10944	7760148	8465616	0	331575	162224	7861	21542	3774496	4117632	0	169936	66160	5370	9060	2601357	2837844	1368	116170	194334	4788	8153	3182586	3471912	0	137526	76627	3050	7436	3454297	3768324	0	156923	115857	2969	9366	1598465	1743780	1007	88680	36681	11899	1986	2922568	3188256	0	130322	79415	2576	7284	3110679	3393468	100	154700	159735	9405	6866	2735843	2984556	0	140338	213964	6530	2286	43032	46944	0	2495	4748	400	NA	2838011	3096012	25670	104526	26644	1418	168167	45270588	49386096	0	1580808	387580	87152	856226
window13	117721524	127531651	74384	3891435	1438466	152608	1126312	89736432	97214468	5986	2845507	608876	146376	951574	66781272	72346378	109	2184623	498679	94132	584123	54769584	59333716	103	1772715	656640	56293	323255	35895180	38886445	627	1260630	895827	33485	142046	21280200	23053550	7918	806866	545785	22088	68090	22168152	24015498	187	901344	784022	25813	67981	17977800	19475950	1	554243	226145	23576	79664	14454936	15659514	0	589034	465782	13299	43432	12261204	13282971	0	481726	342813	12125	41698	12131268	13142207	3328	365824	31728	12537	52275	11968884	12966291	0	399490	24246	10650	35922	11044476	11964849	0	394250	150338	6928	36859	9357024	10136776	0	321746	101935	6180	38366	7657704	8295846	0	292645	219261	6267	35900	391392	424008	0	18056	44067	237	13130	6573840	7121660	1	256189	231071	5874	12183	6632232	7184918	0	226101	430652	5586	4275	5987892	6486883	0	242331	229850	7310	6746	8465616	9171084	1	320729	253633	9268	20683	4117632	4460768	1506	171767	310030	7871	6653	2837844	3074331	67153	89648	62026	8459	9559	3471912	3761238	2227	145191	94855	3715	4907	3768324	4082351	1	160741	80637	3240	12116	1743780	1889095	5924	88983	74175	9886	1988	3188256	3453944	0	131926	70935	3902	8265	3393468	3676257	0	139213	102245	4513	8202	2984556	3233269	1302	141211	61857	10472	4234	46944	50856	0	2630	2111	495	NA	3096012	3354013	41288	100052	6182	11348	154210	49386096	53501604	0	1653012	364131	76396	770882
window14	127531651	137341778	11079	3962605	1328049	157483	1044612	97214468	104692504	2025	3023729	1149719	97522	701635	72346378	77911484	43070	2155174	616437	91332	603864	59333716	63897848	910	1732373	965470	60865	324157	38886445	41877710	1	1188071	468523	36587	240170	23053550	24826900	0	785275	517292	15910	67470	24015498	25862844	2	731048	142727	19897	111790	19475950	20974100	100	718622	434194	17521	66609	15659514	16864092	0	546836	592026	14426	30180	13282971	14304738	0	448691	279572	8647	48941	13142207	14153146	2	372406	37640	11524	50975	12966291	13963698	0	446268	374432	9946	30728	11964849	12885222	0	410452	175899	8042	29814	10136776	10916528	1	311765	22293	7965	39253	8295846	8933988	0	272042	287178	5280	21227	424008	456624	0	17919	19378	1337	10978	7121660	7669480	0	266384	296219	5142	12295	7184918	7737604	0	238551	88936	4980	14140	6486883	6985874	1	226093	237937	3921	6080	9171084	9876552	0	359453	369560	12876	17007	4460768	4803904	0	160673	70769	4629	10214	3074331	3310818	236487	0	NA	NA	NA	3761238	4050564	0	150629	55588	6208	7247	4082351	4396378	630	164502	136386	6111	8143	1889095	2034410	0	72901	42808	2641	3892	3453944	3719632	0	137064	74816	5263	4647	3676257	3959046	0	135848	95731	10881	3272	3233269	3481982	100	157419	242306	12652	1566	50856	54768	0	2631	2946	342	NA	3354013	3612014	30064	102931	6481	743	176696	53501604	57617112	48571	1681962	576546	67218	495231
window15	137341778	147151905	32974	3855585	1059427	175432	1329717	104692504	112170540	722	2910990	962726	119816	804721	77911484	83476590	1360	2173399	1009830	73507	568194	63897848	68461980	1	1750552	864437	59435	317129	41877710	44868975	1787	1148698	522795	40140	197826	24826900	26600250	73	731053	258326	20500	79885	25862844	27710190	0	795584	448232	13699	76880	20974100	22472250	783	687204	377012	19746	60125	16864092	18068670	0	503104	170033	11768	36708	14304738	15326505	807	453493	159272	9247	36628	14153146	15164085	1	410928	70666	10816	35241	13963698	14961105	0	427213	216772	8083	23372	12885222	13805595	1419	455367	311017	11696	20074	10916528	11696280	0	291811	55723	8822	53444	8933988	9572130	0	295692	470576	7193	14166	456624	489240	161	18159	26430	227	14770	7669480	8217300	112	278592	94502	6465	11454	7737604	8290290	0	257687	199923	5400	16372	6985874	7484865	0	226988	275146	5966	8520	9876552	10582020	662	392895	404318	14227	11832	4803904	5147040	1462	168984	167630	6703	26762	3310818	3547305	197615	22413	28681	7026	148	4050564	4339890	0	153074	154682	5829	3309	4396378	4710405	967	153581	114292	4196	13242	2034410	2179725	2685	79670	136746	5643	3831	3719632	3985320	1155	118330	123210	2301	5537	3959046	4241835	1817	161178	60159	13199	4663	3481982	3730695	0	134093	155638	4977	1294	54768	58680	0	2288	3619	NA	NA	3612014	3870015	0	117147	13246	5295	192969	57617112	61732620	50000	1580333	473750	88522	555314
window16	147151905	156962032	2182	3719006	676931	257880	2354714	112170540	119648576	2049	2928007	701506	107161	754921	83476590	89041696	1254	2088273	1350678	90287	764424	68461980	73026112	37224	1709735	618511	72232	506322	44868975	47860240	4	1166934	364531	44294	182169	26600250	28373600	1	723501	518960	18604	68112	27710190	29557536	1	775690	540514	19532	87446	22472250	23970400	1	594896	126374	15886	57676	18068670	19273248	2037	464856	178107	10336	36877	15326505	16348272	0	410832	55967	16499	26610	15164085	16175024	100	426490	226359	8565	34835	14961105	15958512	1	421356	232928	8550	23135	13805595	14725968	1593	406162	169190	6341	15534	11696280	12476032	0	364364	267208	8142	30947	9572130	10210272	0	313510	287578	11015	30678	489240	521856	0	17982	23132	436	15237	8217300	8765120	0	277663	376382	7533	6370	8290290	8842976	1	235686	4625	5357	14318	7484865	7983856	1	217780	83078	4571	5588	10582020	11287488	2999	345561	295825	10350	17360	5147040	5490176	1	147127	192723	3232	27955	3547305	3783792	1	114733	42896	7945	19622	4339890	4629216	0	144419	137137	2403	4404	4710405	5024432	0	152103	10492	2915	23873	2179725	2325040	0	74557	109467	2860	4209	3985320	4251008	0	131760	286524	2676	14870	4241835	4524624	501	167235	84202	12793	3861	3730695	3979408	2653	131386	170476	5151	2520	58680	62592	0	2611	3168	26	NA	3870015	4128016	18409	109514	21514	3712	151330	61732620	65848128	0	1659998	368444	70404	582625
window17	156962032	166772159	4574	3665802	330567	291389	2407367	119648576	127126612	216420	2843271	776148	117117	907295	89041696	94606802	1283	2083167	335472	91086	772118	73026112	77590244	27735	1744179	428021	56739	388623	47860240	50851505	1	1251271	791861	31187	187525	28373600	30146950	0	717466	246303	19770	74778	29557536	31404882	1	736862	483572	14364	62489	23970400	25468550	0	646226	428084	13853	41984	19273248	20477826	0	537178	570964	15370	28972	16348272	17370039	1	429402	249390	7903	19242	16175024	17185963	101	403712	125256	7119	24166	15958512	16955919	1	441365	189899	9888	19468	14725968	15646341	201	388093	246979	9787	28595	12476032	13255784	100	407512	403822	17663	19628	10210272	10848414	101	307146	73735	7361	58707	521856	554472	200	17291	1597	507	11525	8765120	9312940	0	256450	295030	6383	4389	8842976	9395662	2318	313905	268902	14112	7906	7983856	8482847	0	234241	162177	5930	4562	11287488	11992956	1	312809	204364	7321	14281	5490176	5833312	0	160168	178078	1975	23855	3783792	4020279	0	99484	6886	1838	19662	4629216	4918542	0	145342	44381	2485	5115	5024432	5338459	0	164243	218931	3750	12189	2325040	2470355	0	79793	142453	3478	6720	4251008	4516696	0	140323	56753	6089	11479	4524624	4807413	333	172640	195591	13175	2941	3979408	4228121	958	132420	231269	4645	3280	62592	66504	0	2398	1175	238	593	4128016	4386017	976	114889	18188	937	202020	65848128	69963636	0	1691879	552789	74386	611906
window18	166772159	176582286	2008	4068588	2442396	125582	1220541	127126612	134604648	2017	2939097	641780	120834	1031102	94606802	100171908	5338	2188951	405671	112770	645777	77590244	82154376	2767	1766176	498415	62949	341647	50851505	53842770	645	1268478	753518	26626	195632	30146950	31920300	101	744375	515914	16428	95769	31404882	33252228	0	709156	128738	21919	89805	25468550	26966700	1	642445	371576	12976	72328	20477826	21682404	172	469909	135536	12822	42563	17370039	18391806	1	468127	315866	7726	28864	17185963	18196902	833	483085	173833	21377	33535	16955919	17953326	0	406451	143288	8200	28963	15646341	16566714	0	427090	207759	9887	27512	13255784	14035536	200	398765	409276	10388	56172	10848414	11486556	532	335800	339140	15034	20578	554472	587088	1	17879	23504	534	14916	9312940	9860760	0	229040	143612	7066	5879	9395662	9948348	1	306892	353913	11912	9499	8482847	8981838	0	247265	201350	6164	6499	11992956	12698424	0	305136	109834	5000	14163	5833312	6176448	1	168611	62267	4211	51746	4020279	4256766	0	95557	17286	1962	14855	4918542	5207868	108	166946	136234	7041	1154	5338459	5652486	0	163672	184018	3702	13577	2470355	2615670	2426	88091	104706	8862	1693	4516696	4782384	0	135283	132983	3103	5580	4807413	5090202	100	154945	92039	5939	1117	4228121	4476834	0	114235	161065	2308	3261	66504	70416	100	2362	648	111	NA	4386017	4644018	44808	98130	4286	2291	153029	69963636	74079144	0	1756628	464139	214114	747621
window19	176582286	186392413	122903	3920855	1250950	134847	1388259	134604648	142082684	2249	3046873	864234	106184	875572	100171908	105737014	16049	2329800	886171	109711	729463	82154376	86718508	624	1928479	1019499	43147	401775	53842770	56834035	2	1360542	677848	31852	306431	31920300	33693650	2228	775702	392279	16245	109652	33252228	35099574	438	759206	496495	22089	72615	26966700	28464850	1	658280	435506	17665	51626	21682404	22886982	1	526956	368256	11261	45941	18391806	19413573	0	475324	283335	11268	27355	18196902	19207841	420	535273	332938	25289	28400	17953326	18950733	1	449697	481068	7664	27262	16566714	17487087	0	450607	332486	9688	27105	14035536	14815288	301	378594	202561	11132	71376	11486556	12124698	0	272009	46193	6703	42665	587088	619704	100	17718	7880	1120	12816	9860760	10408580	0	263806	300878	7380	6720	9948348	10501034	0	289798	529835	7903	6172	8981838	9480829	1	215405	280730	4664	9420	12698424	13403892	1	304552	119386	7349	15575	6176448	6519584	1082	175022	118842	6516	28124	4256766	4493253	0	95598	12542	1318	18841	5207868	5497194	0	164926	908581	4275	3648	5652486	5966513	0	153196	221083	2987	41008	2615670	2760985	0	89495	93317	4857	3392	4782384	5048072	0	147079	173584	10996	6790	5090202	5372991	0	159278	218420	5123	860	4476834	4725547	0	127754	62630	3278	10341	70416	74328	0	2526	2928	226	NA	4644018	4902019	0	114175	52064	987	185345	74079144	78194652	149285	1968536	5001	1193507	503551
window20	186392413	196202544	44498	4204160	1401604	177132	1409157	142082684	149560735	21211	3100198	723564	147714	1201130	105737014	111302122	1475	2473749	880912	86102	741076	86718508	91282656	1942	1947908	434507	70180	541945	56834035	59825302	1258	1424738	462741	34608	343157	33693650	35467016	101	804260	333810	20265	153740	35099574	36946936	107114	800833	627311	23515	139524	28464850	29963013	0	699230	618689	16071	83776	22886982	24091566	0	560013	663353	13198	45810	19413573	20435342	1	535027	686413	18977	42918	19207841	20218793	1027	477610	438182	12502	58347	18950733	19948154	0	460238	299547	8532	38618	17487087	18407460	101	430154	316291	9178	52970	14815288	15595052	500000	137279	127527	48492	26381	12124698	12762846	0	312075	95117	45881	36496	619704	652338	100	17839	24090	4216	4458	10408580	10956400	27	234732	296345	12250	29636	10501034	11053727	1	269564	303218	5241	23738	9480829	9979828	0	228365	266634	5918	21559	13403892	14109371	0	305084	359462	6333	22303	6519584	6862722	101	176676	224141	46922	14647	4493253	4729743	2399	133162	61422	13468	12539	5497194	5786528	0	141989	203003	7526	8525	5966513	6280547	0	148332	127888	3736	45173	2760985	2906300	0	82422	82552	6684	5035	5048072	5313770	0	140083	99685	30529	15482	5372991	5655794	0	145922	225895	4100	10660	4725547	4974273	36	109936	180870	9425	7347	74328	78254	0	2569	3857	112	NA	4902019	5160035	377	105429	39121	1749	142085	78194652	82310166	50617	1827318	390111	515665	610162
